,area,value,year,item
33,広島県,252789.7803675482,1963.0,pergdp
34,山口県,251015.9337157425,1963.0,pergdp
35,徳島県,179145.2784503632,1963.0,pergdp
36,香川県,204132.74336283182,1963.0,pergdp
37,愛媛県,213310.53351573183,1963.0,pergdp
38,高知県,177394.92753623187,1963.0,pergdp
39,福岡県,227066.7506297229,1963.0,pergdp
40,佐賀県,167616.33109619687,1963.0,pergdp
41,長崎県,144333.72711163617,1963.0,pergdp
42,熊本県,150162.68739589115,1963.0,pergdp
43,大分県,172438.3788254756,1963.0,pergdp
44,宮崎県,156119.8910081744,1963.0,pergdp
45,鹿児島県,141243.27176781002,1963.0,pergdp
46,沖縄県,98344.3298969072,1963.0,pergdp
0,北海道,263238.1878281159,1964.0,pergdp
1,青森県,179405.91966173358,1964.0,pergdp
2,岩手県,193237.323943662,1964.0,pergdp
3,宮城県,221917.47851002862,1964.0,pergdp
4,秋田県,224345.2012383901,1964.0,pergdp
5,山形県,194352.15686274512,1964.0,pergdp
6,福島県,187431.07769423557,1964.0,pergdp
7,茨城県,213588.8077858881,1964.0,pergdp
8,栃木県,254705.069124424,1964.0,pergdp
9,群馬県,232219.16092673762,1964.0,pergdp
10,埼玉県,233093.5754189944,1964.0,pergdp
11,千葉県,226846.68455346875,1964.0,pergdp
12,東京都,495455.4743157106,1964.0,pergdp
13,神奈川県,401664.763264335,1964.0,pergdp
14,新潟県,244513.31114808648,1964.0,pergdp
15,富山県,275864.6543330088,1964.0,pergdp
16,石川県,275115.5419222904,1964.0,pergdp
17,福井県,245158.24468085106,1964.0,pergdp
18,山梨県,202163.39869281047,1964.0,pergdp
19,長野県,221226.4150943396,1964.0,pergdp
20,岐阜県,253892.58160237392,1964.0,pergdp
21,静岡県,313871.0013908206,1964.0,pergdp
22,愛知県,374619.8717948718,1964.0,pergdp
23,三重県,299230.82010582014,1964.0,pergdp
24,滋賀県,258106.0070671378,1964.0,pergdp
25,京都府,290174.3737957611,1964.0,pergdp
26,大阪府,435247.049689441,1964.0,pergdp
27,兵庫県,305638.74469089194,1964.0,pergdp
28,奈良県,233498.15043156603,1964.0,pergdp
29,和歌山県,310457.3110893032,1964.0,pergdp
30,鳥取県,201731.16438356164,1964.0,pergdp
31,島根県,183014.33691756273,1964.0,pergdp
32,岡山県,266981.7407181984,1964.0,pergdp
33,広島県,312396.45232815965,1964.0,pergdp
34,山口県,290091.55383623467,1964.0,pergdp
35,徳島県,209036.58536585362,1964.0,pergdp
36,香川県,239777.1618625277,1964.0,pergdp
37,愛媛県,249004.8242591316,1964.0,pergdp
38,高知県,204920.82825822168,1964.0,pergdp
39,福岡県,264704.8558421851,1964.0,pergdp
40,佐賀県,200375.70942111235,1964.0,pergdp
41,長崎県,169790.9638554217,1964.0,pergdp
42,熊本県,176250.14021312396,1964.0,pergdp
43,大分県,203678.6310517529,1964.0,pergdp
44,宮崎県,185516.98806244263,1964.0,pergdp
45,鹿児島県,156518.65671641793,1964.0,pergdp
46,沖縄県,113932.98969072165,1964.0,pergdp
0,北海道,296593.5808197989,1965.0,pergdp
1,青森県,211158.08045165843,1965.0,pergdp
2,岩手県,223778.17150956765,1965.0,pergdp
3,宮城県,256981.74557900737,1965.0,pergdp
4,秋田県,247403.90625,1965.0,pergdp
